GO,Genes,Gene_Count,Term_Description,50perc_contaminated_Genes,100perc_contaminated_Genes
GO:0006303,XRCC6 NSD2 APLF NSMCE2 HMCES ACTR2 DCLRE1B WRAP53 ATP23 ERCC4 XRCC5 ATM DNTT ERCC1 MRE11 RHNO1 HMGB1 XRCC4 TFIP11 USP51 POLL PRKDC TP53BP1 XRCC1 DCLRE1A PAXX ERCC6 SHLD2 SMARCAL1 KMT5B SMC5 RIF1 HMGB2 UVRAG LIG4 IFFO1 PRPF19 HELQ DEK WAS HSF1 HMGA2 KDM4D MLH1 POLM POT1 ZBTB7A RNF8 AUNIP PSMD14 SHLD1 NHEJ1 ERCC8 KMT5C POLQ MAD2L2 SETMAR PLK1 POLA1 DCLRE1C PARP3 TOP2B TOPBP1 RNF168 KDM2A POLB PNKP MRNIP NUDT16L1 CYREN SMCHD1,71,double-strand break repair via nonhomologous end joining,HMGB1 USP51 PARP3 TOP2B MAD2L2 PNKP KMT5B TFIP11 XRCC1 XRCC4 HMGA2 TP53BP1 MLH1 PRKDC SHLD2 DCLRE1B PAXX POLQ SMCHD1 APLF HMCES MRE11 DNTT ERCC4 WAS ERCC1 XRCC5 TOPBP1 KMT5C NSMCE2 DEK NSD2 ZBTB7A ATP23 RNF168 WNT4 EXOSC8 DEAF1 GLUD2 CTSD RD3 CIR1 P4HB F3 CTAG2 FCRL5 LRFN2 PHKA2 CUTC LIAS GPR143 SLITRK6 RAB40AL ZNF714 MASP2 UVSSA ST8SIA3 MAP3K20 MKKS TBC1D10A PCDHGA1 TSPY10 POLR2C XBP1 HBP1 LRRC59 ZNF160 PLPP2 CADM4 NSUN2 FCRLA,SMAD7 ARHGAP35 CREB1 DNMBP TRIM61 EPHA2 ASCL2 RAB6A CACNA1G SET CTC1 SLC6A15 NONO TXNDC5 ANKRD45 ADH6 MINAR2 RILPL1 P2RY13 POU4F2 CLEC11A CNGA3 BHLHE23 EFNA1 SUGT1 AGMAT DKK4 PPP2R1A TMEM121 ESPL1 SUGP1 HLA-DQB2 AP1S3 ITPKB ZNF343 SUCLG1 ITPR2 GTF2A1 NAIP FIG4 SETD6 CDKN2D TNXB BLOC1S3 SPAG8 KCNK13 PLOD1 IL6 FEZF1 FAM107A GUCA2A SCTR APOBEC3A ADGRG6 AAMP ZNF440 AAR2 ZNF215 KCNK17 URAD TBL1XR1 APOC3 FOXS1 ARHGAP39 GPR158 ZNF680 SLC35E3 TRIM9 HHLA2 FAM20A OR6B1
GO:0097090,CNTN2 NLGN4X NLGN2 NLGN3 NLGN4Y LRP4 NLGN1 PTPRD PTEN IL1RAPL1,10,presynaptic membrane organization,NLGN4Y NLGN3 CNTN2 PTEN NLGN1 ARIH1 DRD3 ZNF772 CXCL16 UBE2A,ELMO3 LMOD3 PPIAL4F BRCC3 B3GAT2 BASP1 TIPARP ZNF782 RPL22 C2CD4A
GO:0060965,STAT3 ZC3H10 DND1 LIN28B MECP2 TP53 ELAVL1 LIN28A ZMPSTE24 FMR1 IL6 BCDIN3D,12,negative regulation of miRNA-mediated gene silencing,BCDIN3D DND1 TP53 FMR1 ZC3H10 LIN28A SAT1 GPR149 ZNF417 NCK2 BTBD9 IFNA5,PAX2 EIF2B4 LAMA5 ZSCAN18 ACAP3 SPSB4 GZMB TST CHRNA1 MSN ASGR2 KCNMB4
GO:0002328,SOS2 HES5 LIG4 SOS1 FLCN FNIP1 NOTCH1 NUDT21 PRKDC SOX4 FLT3 HES1,12,pro-B cell differentiation,SOX4 FLT3 HES5 FNIP1 SOS2 FLCN OR13D1 TSNARE1 SRSF1 AGBL1 COL4A5 NIP7,GGH EDNRB KRT84 TNC TMEM237 NPY4R RNF141 WDR89 PTPRZ1 PPP2R3B FKBP4 RANGRF
GO:0072307,PAX8 PAX2 YAP1 STAT1 LIF WWTR1,6,regulation of metanephric nephron tubule epithelial cell differentiation,YAP1 PAX8 WWTR1 PF4V1 MTX1 AIRIM,FFAR3 AP1G1 GCLC INHA RNF4 ALDH1L2
GO:0002825,ARID5A CCL19 IL1RL1 CD80 IL23A XCL1 IL18 IL33 SOCS5 HAVCR2 IL27RA TBX21 IL12RB1 IL1R1 CCR2 RIPK2 TNFSF4 NLRP10 IL1B ANXA1 IL4R JAK3 SLC11A1 IL12B IL23R SLAMF1 IL27 PLA2G4A IL18R1 HLX ASCL2,31,regulation of T-helper 1 type immune response,XCL1 TNFSF4 IL12RB1 IL18 SLC11A1 IL1R1 PLA2G4A CCR2 IL33 ASCL2 NLRP10 IL12B IL1B IL18R1 ANXA1 RPL27A AMIGO3 GUCA2B GRID1 EIF2B5 TMSB10 NHP2 RPS8 DYNLT4 PBLD ETF1 NEK1 VNN2 CDK3 CIR1 STMN2,P4HA2 ANXA11 FOXR1 ABCC3 TPSAB1 NUDT2 ZNF888 MBL2 GK5 RPL38 MMP16 ANGPTL2 GRWD1 SHCBP1L AP1M2 D2HGDH P2RX6 SERPINB3 DICER1 IFITM5 CFAP54 TGIF2 ALOX12 ADAMTS12 NQO1 ZNF668 MRPL38 AFDN CTAGE9 IFNL1 OLFML1
GO:0048844,LRP1 HPGD NF1 CHD7 ARID2 TGFBR2 NRP1 EDNRA NOTCH1 NOTCH3 EFNB2 AKT3 SMAD7 TGFB2 ADGRF5 PDGFRB APOE MDK ADAMTS9 COMP TBX2 MYOCD WNT11 FOXF1 ZMIZ1 LDLR NPRL3 JAG1 EDN1 SOX4 STRA6 HES1 ENG NOG TBX1 TGFBR1 NAGLU HEY2 FOXC1 VEGFA PKD2 TFAP2B BMPR2 CITED2 RBPJ ANGPTL3 EFEMP2 FOXH1 BMPR1A ACVRL1 FOXC2 SIX1 PRDM1 FOLR1 FKBP10 SEC24B LRP2 COL3A1 HOXA13 DLL4 EYA1 PRRX1 BMP4 FGF8 APOB MYLK GJA5 PROX1 SRF HAND2 HEY1 HOXA1,72,artery morphogenesis,AKT3 PKD2 SRF TBX1 EYA1 TFAP2B HOXA1 EDN1 TBX2 EDNRA NOTCH1 SMAD7 FOXC1 APOB TGFBR2 ADAMTS9 PRDM1 SOX4 VEGFA GJA5 LRP1 NRP1 ACVRL1 NAGLU LRP2 FGF8 MYLK MYOCD SIX1 HEY2 PRRX1 PDGFRB FOXH1 STRA6 EFEMP2 CHD7 POC1B-GALNT4 DPYSL5 PRPF19 SEMA3F GKAP1 ZNF527 UNC13D SEPTIN7 PFKFB3 SNAPC1 GPN2 SLC66A1 OR2L13 GPR151 ARL17A MRPL43 LGALS3BP HBB CNTLN CHST1 CLEC3B RGP1 OR52E1 ZFY LTC4S TMSB4X DIP2C KRTAP1-1 NAA60 ANKRD54 ANO6 UPK3B SHISA8 MRPS23 SETMAR H2AC17,IL31 GRID2IP FHIP1B PAM16 THSD1 KAT8 MMP24 LRRC18 OR10G7 SDC2 PAOX CFAP157 EIF4ENIF1 OTOP1 H2AJ KIF5C CHTOP EXOC6B CCDC62 GPBAR1 GPR180 BARHL2 INO80 POLD2 ATM NPIPA1 GCNT7 COQ5 RSF1 GPBP1 PRKAR1B LGALS14 A1BG ZBTB14 GFUS GNPDA1 INTS7 MTFR1L BORCS8 SSTR1 CLOCK KCNQ4 ACAD8 NUDC HTRA2 ETV6 MAGED4B GPR143 SLCO2B1 VPS39 MACC1 NME8 TM4SF5 STEAP2 FGF12 DPYS KLK13 GALNT10 TRIM72 TRIM44 ISY1-RAB43 UBAC1 SMC3 SPAG17 PLCXD3 SLC51B SART3 CD5L ATRNL1 DNAI2 CBX7 COBL
GO:0006517,AGA MAN1A2 MAN2A2 EDEM3 NGLY1 MAN1B1 ENGASE MAN2A1 PARK7 OGA EDEM1 MAN1C1 EDEM2 MAN2B1 MAN1A1,15,protein deglycosylation,EDEM1 MAN2B1 AGA NGLY1 MAN2A2 MAN1A2 PARK7 CIAPIN1 OR5AK2 H1-7 GOLGA4 MICALL2 PLN AKR1B10 FAM13A,TBC1D25 SULT1A3 DNASE2 STARD3 TIMP4 AFG2B GRPR ORMDL2 LEMD3 SPI1 EVX1 OR1A2 NOP10 RRAGB PCDH11X
GO:0032486,RAP2C KIF14 RAP2A RDX RAPGEF3 PLK2 RAPGEF2 RAP1B RAPGEF1 CBL SGSM3 RAP1A RAP2B,13,Rap protein signal transduction,RAP2C RAP1A CBL RAP2A PLK2 RAP1B PRDX1 MYLIP PPIH PHOSPHO1 ZNF692 IAPP CTNNA2,SERPINB11 CCNG1 ZNF286A SPG11 NCBP3 SPIN4 LYNX1 FGF21 BAG2 RNF216 PINK1 DCP1A IL25
GO:0070168,RFLNB ROCK2 NOTCH1 SOX9 ZNF664-RFLNA GREM1 ECM1 ENPP1 LTBP3 CCL3 RFLNA HEY2 ROCK1 NOS3 ASPN PTH BCOR FGF23 SRGN GATA1 GAS6 AHSG HIF1A PTK2B TRPM4 TGFB1 CCR1 STATH HEY1,29,negative regulation of biomineral tissue development,HEY1 RFLNB PTK2B TRPM4 GATA1 BCOR GREM1 HIF1A ZNF664-RFLNA SRGN CCL3 GAS6 SOX9 NOS3 CENPL SFXN2 GPRIN1 TAS2R14 EIF4A3 NOC3L PRKD2 ADAM7 SCAI ESR2 SP6 MYF5 CCBE1 LRPAP1 ZNF445,STIL HACD2 OR2T35 CCL17 PGM5 ALDH1A3 AKAP10 ADH1C FZD8 NCF2 NTNG1 BTAF1 TRIM58 PTPRN MYL12B XPC TM2D1 PPP2R3C PIK3CD GINS4 GBP6 ZNF543 WBP2NL VPS37B NDUFAB1 CRCP EMP3 MT1X FOXD4
GO:0022616,TFPT INO80C DNA2 MCM3 ACTR5 NBN DCLRE1B NFRKB RFC3 INO80D MRE11 YY1 POLD3 POLE MCM7 POLD2 RFC4 TERT INO80 GINS1 RUVBL2 MCRS1 UCHL5 PCNA ACTR8 POT1 POLE3 MCM4 LIG3 ACTL6A NUCKS1 POLA1 RUVBL1 RAD50 LIG1 INO80B INO80E,37,DNA strand elongation,YY1 INO80D GINS1 INO80B NFRKB MCM4 LIG1 UCHL5 INO80E TERT INO80C LIG3 RFC4 POLE3 RFC3 POLA1 ACTR8 ACTL6A CLVS2 MRPS34 MMP11 AGO3 SMYD1 RAP1GDS1 INS ZNF680 DMD KRT83 GREM2 SMCR8 CSTL1 DGUOK GJC3 ELAVL3 DLGAP2 ZW10 TIGIT,MID1 LRRC56 SLC39A1 ISG20L2 MUSTN1 ZNF519 BET1 GBX2 GPR149 GCK GPR85 PLCXD1 METTL21C ENTPD2 LARP7 NCOA7 CEP76 NMUR2 HSD17B10 ZBTB8B HERC1 TNFSF15 ID4 FN1 CTNNA2 KLK4 NDUFAF2 PPP3CA PROCA1 TAS2R9 SLC5A6 ZIC5 UBXN11 ATP8A1 MOK METTL23 JAKMIP1
GO:0032506,CNTROB SNX33 RACGAP1 CHMP6 MYH9 CHMP3 CHMP4A SPIRE2 CHMP7 SNX18 ARF1 CHMP1B ANLN KIF20A RHOA ANXA11 RTKN NUP62 VPS4B ALKBH4 RNF103-CHMP3 MITD1 KIF20B PLEC SPIRE1 CHMP4C VPS4A IQGAP2 ECT2 IQGAP3 CHMP1A PDCD6IP CHMP2B SNX9 IQGAP1 AURKB CHMP2A SPAST KLHDC8B CEP55 BIN3 CHMP4B CHMP5,43,cytokinetic process,CEP55 CHMP4B CHMP3 ANXA11 SPAST KIF20A RACGAP1 MITD1 RHOA SPIRE2 SPIRE1 PDCD6IP MYH9 VPS4B RTKN ECT2 ALKBH4 ARF1 RNF103-CHMP3 CNTROB ANLN SPRING1 ATP7B TBC1D14 SNRPA CTSZ LRRC34 TRA2A M6PR GALNT15 EOMES CARD10 TCEANC2 CHDH MRPL58 OSTF1 DNHD1 THBS2 TMEM245 GDF3 HNRNPH1 TANC1 OR2A2,TMEM125 SPTA1 CD300E PTGFRN IER3IP1 TAS2R9 PIERCE1 CFAP298 RNF44 TBC1D2B BPY2B CDC42EP2 ANGPTL1 TCP11L2 INTU SPTSSB CYP2U1 CREB3 CNIH1 TSC1 BDKRB2 UBE3A PON3 KLHL6 DIAPH2 KLF17 AMY2A PPARGC1A LHX5 IRF8 ELK3 AKR1C3 TIMP2 NLRP11 DNAJC9 EBP RCN1 BTBD17 BTD GPRASP1 UGT1A10 FGGY FANCF
GO:0140367,DEFB136 UMOD MPEG1 TFEB MARCHF2,5,antibacterial innate immune response,UMOD MPEG1 METTL1 NRIP1 PKD1,COX5A CAMSAP1 TTC39B STK10 ZFAND6
GO:1901623,KLRC4-KLRK1 XCL2 XCL1 CCL7 ADAM17 SLC8B1 WNT5A CCL3 CCL2 KLRK1 CCR2 NEDD9 CCL4 CCL21 TMEM102 TNFSF14 WNK1 CCL5 STK39 S100A7 PTK2B OXSR1 CXCL13 ADAM10 CXCL10 PADI2,26,regulation of lymphocyte chemotaxis,ADAM17 S100A7 CCL7 XCL2 CXCL10 CCR2 CCL21 TNFSF14 CXCL13 KLRC4-KLRK1 CCL2 SLC8B1 OXSR1 CWH43 ATP13A3 ROGDI ASL ATXN7 GAGE4 YEATS2 RBFOX2 OR4C16 EMC10 GPR31 VSIG10 IL20RB,EMP2 CPNE1 CLDN3 RAB7A PPP1R15A CCDC14 SPIN1 PDXP BACE1 SMAD1 AACS CIT FANCM FNTB BMP3 KCTD5 PDIA4 HSF4 GFY RPS15A BMP10 MAP4K4 WAS RFC4 XRN1 AMY1A
GO:0009128,PNP ADA AMPD3 NT5E NT5C XDH NT5C1A HPRT1 PRTFDC1 GDA NT5C2,11,purine nucleoside monophosphate catabolic process,XDH PRTFDC1 NT5C1A HPRT1 NT5C2 SPARCL1 BTBD6 CNTFR KLHL13 CPA1 CLCN4,FABP4 NPSR1 AIM2 PRKAG3 RESF1 PGLYRP4 VAPA SRSF8 DUSP29 FOSB P2RX2
GO:1902034,SNAI2 TSC22D1 CEBPA,3,negative regulation of hematopoietic stem cell proliferation,CEBPA MTMR12 CALB2,CHD7 ADAM17 VPS35
GO:0038063,COL4A3 COL4A1 COL4A2 SYK COL4A5 COL4A6 COL1A1 UBASH3B DDR2 DDR1,10,collagen-activated tyrosine kinase receptor signaling pathway,DDR2 COL4A6 COL4A5 DDR1 COL4A1 FXR1 UTP25 EHD1 FCRL2 GNAL,JOSD1 AVPR1B GPT2 LEMD2 DGUOK TMEM68 LSR PI4KA POLR3E HTR1E
GO:0046330,RB1CC1 CCL19 DAB2IP RIPK1 TAOK3 DKK1 MFHAS1 GADD45G CCR7 FGF19 TNIK DUSP19 TRAF4 ZNF622 TLR3 AGER IL1B FZD10 NAIP SH3RF3 MAP3K10 TIRAP TPD52L1 TAOK1 APP PYCARD TNFSF11 DVL2 MTURN WNT7A MYD88 TAOK2 SH3RF2 TLR9 TNF WNT16 SERPINF2 HIPK2 CDC42 RASGRP1 DUSP22 CRK F2RL1 PTK2B FLT4 MAP2K7 STK3 MAP3K5 EDA2R XIAP HMGB1 MAP2K4 LTBR SEMA3A MINK1 NOX1 TNFRSF19 EDAR AXIN1 CARD9 TRPV4 MAP3K11 MAPKBP1 WNT7B PJA2 SDCBP HRAS GADD45B PLCB1 MBIP GADD45A DVL3 NOD1 CCN2 ANKRD6 WNT5A NCF1 MAP4K2 RIPK2 BIRC7 CCL21 UNC5CL SH3RF1 MAPK8IP3 NOD2 CD27 MAPK8IP1 IL1A RASSF2 NRK FZD7 FCGR2B SLAMF1 TLR4,94,positive regulation of JNK cascade,IL1A MAP3K11 WNT7B MAP2K4 SH3RF1 SERPINF2 DVL3 TAOK3 CDC42 TNFRSF19 DKK1 FGF19 FZD10 DUSP22 CCL19 AGER NOD2 NOX1 IL1B TIRAP HMGB1 TNF CD27 RIPK2 SH3RF3 LTBR SH3RF2 F2RL1 TNFSF11 GADD45A MTURN TAOK2 CCN2 NOD1 APP XIAP MAP2K7 MAP3K5 FLT4 SEMA3A GADD45B TNIK MAP4K2 MYD88 TLR4 TLR9 WNT7A ND1 RUNDC3A ERN2 TICRR PITPNC1 AMMECR1 JUN PP2D1 WDR72 CPNE6 ZNF215 FGF20 MRPL28 CDIN1 ANK2 FLVCR2 SERPINB6 SATB2 CTAGE1 CSPP1 SPEN AZU1 ZNF571 SAMHD1 CSTF2 FRA10AC1 BRSK1 ZNF793 CAMK2A PPP1R14A ATF7 OR2F1 NSD3 MTCH2 MYORG CFHR5 MAP4K5 KRT78 ST3GAL4 FIGNL2 ING4 SLC12A8 EIF3L RAB36 NKX1-2 RANBP17 MAPK13,NDUFAF5 TRAF1 ZNF248 CCDC66 PRAMEF6 KIZ IL5RA ZFYVE16 ELOVL3 A4GALT THAP9 COQ6 SNW1 GLCE GCK CERS5 NUP160 ATP6V1D CCDC141 DALRD3 SGTB PLEKHG1 VPS50 OR10K2 APOA2 REG1B TYK2 GP9 PFKFB1 MXRA5 HSD11B2 FAM171A1 TLL1 NOL10 SLCO3A1 ABTB1 SHROOM3 KCNQ1 HEY1 GRB7 NFATC1 IL1RL2 AFF3 NRCAM CTDP1 SEC24C CEACAM5 SESN1 ENOPH1 CARS1 PUM1 PIK3IP1 UGT1A5 NBEA PRSS37 FGFR1 BTD GMDS TCOF1 TOM1L1 CXCR1 ATP1A1 MKX MAN1A2 RNF157 SLC25A21 SNX1 DAPK3 ACSM3 NCLN DNAJC5 SDR9C7 BRCC3 HEBP1 CRTAM MAP6D1 AUH CISD3 TSGA10 PRUNE2 BCL9 RNF34 SMC1A DDAH2 SORBS2 EIF2B2 SMG6 ING3 RNF13 RREB1 PRPF38B SIAH2 CASK IRAG1
GO:0021834,SLIT3 SLIT1 SLIT2,3,chemorepulsion involved in embryonic olfactory bulb interneuron precursor migration,SLIT1 LRRC70 CDH17,EXOC1 PRTG SELENOF
GO:1900452,IQSEC2 LILRB2 CBLN1 KCNB1 GRID2 ARC AGER MAPT ADORA1 STAU2 ADCY8 SORCS3 FMR1,13,regulation of long-term synaptic depression,CBLN1 LILRB2 SORCS3 STAU2 AGER GRID2 SP8 CLN6 TPRG1L MYOCD FAM3A PABPC1 ZBED3,ORC5 RPP25 RANGAP1 ELOVL5 NUAK2 TENM3 TSTD2 COMMD1 PCDHA12 DCHS2 ABHD12 CFH GHRL
GO:2001045,CTNNA1 PHACTR4 SLC2A10,3,negative regulation of integrin-mediated signaling pathway,SLC2A10 OR8K3 UBE2E3,EMX1 CPSF2 COA4
GO:0071504,SFRP1 AOC1 SOX9 SLIT2 EGR1,5,cellular response to heparin,SFRP1 SOX9 DYRK3 SAMD12 NPIPA1,PNLIPRP3 IL3RA H3C13 F8A3 LUZP4
GO:0000022,CDCA8 AURKB AURKC RACGAP1 MAP10 NUMA1 INCENP KIF4A KIF23 PRC1 KIF4B BIRC5,12,mitotic spindle elongation,AURKB BIRC5 PRC1 RACGAP1 KIF4A NUMA1 TTC9 DUSP11 HMX1 FOXI1 TTC23L STMND1,TRPC4 ZNF626 PDGFA KCNJ18 RSRP1 PIWIL2 RTBDN USP15 AAK1 MLXIPL F13B PTGES3L-AARSD1
GO:0141084,PPP2CA PYCARD CD36 CPTP TREM2 MARK4 TLR6 ATAT1 FBXL2 NLRP6 NLRP3 PYDC5 IRGM MEFV MYD88 PRKD1 TRIM31 TRIM11 GBP5 SIRT2 PLCG2 MAPK8 EIF2AK2 GBP2 MAVS PYDC1 CSNK1A1 NLRP1 ZDHHC12 PYDC2 KCNJ8 USP50 BTK PTPN22 STMP1 DDX3X NLRC3 HSPA8 NEK7 NLRP2B CARD8 TLR4 DHX33 BRCC3,44,inflammasome-mediated signaling pathway,IRGM PTPN22 TLR4 BTK MARK4 CARD8 DHX33 CD36 MEFV NLRP1 BRCC3 TLR6 STMP1 NLRP3 USP50 TREM2 NLRP2B MAPK8 CSNK1A1 PRKD1 ZDHHC12 PYDC1 XRCC2 FGF2 FGF7 OR6Q1 SLC25A52 ALDH5A1 BRCA2 ZNF614 CCNP VPS26C RPA4 CGGBP1 KLRF2 ADH4 OR52L1 COX8A NAB2 KIAA0319L VPS18 RNF25 EPB41L4A NAALAD2,CCNB2 EHD2 CMIP PRICKLE1 AKAP11 EXO5 AQP8 KRTAP4-9 CFAP298 ERCC4 CXCR5 SCN10A PCSK5 TBC1D13 EIF3F SEPHS1 ME2 NFYB HSD17B8 NCKIPSD PLEKHM1 USP1 VCL CNTN5 MICU3 RLN3 OR8D4 IRX2 SLC2A4RG NIPA2 PLPPR2 NUP43 RHOB KTN1 MAP7D3 CALML5 BRD3 OR9K2 ADAM10 GNAT1 DNAAF4 HIRA KMT5B NMT2
GO:1903036,ADRA2A SCARF1 CD36 CLDN4 THBS1 HTN3 ATP7A SERPINE1 FLNA STK24 PRKCE DUOX2 KANK1 F7 DUOX1 VTN MDK FERMT1 PLAU TBXA2R REG3A PRDX2 USF1 CNTF XBP1 APOH GRN EMILIN2 RREB1 TMEM97 PUM2 ARFGEF1 ITGB1 F2R INSL3 FKBP1B HRG F2 CCN4 PTK2 SERPINF2 OCLN HTN1 F12 CXCR4 ACTG1 REG3G IGF1R ANO6 FOXC2 CPB2 ENPP4 ANXA1 MTOR DDR2 CLDN3 PTN CLDN1 NFE2L2 BRAF F3 THBD EMILIN1 CLEC7A DMTN SMOC2 HBEGF HRAS ST3GAL4 MYLK PLG PLAT HPSE FERMT2,74,positive regulation of response to wounding,INSL3 ARFGEF1 MTOR CNTF DUOX1 HRG F2 CLDN1 HPSE CLEC7A RREB1 ENPP4 CXCR4 BRAF FERMT2 CPB2 THBS1 FERMT1 XBP1 EMILIN1 F12 ANO6 F7 DMTN ANXA1 IGF1R VTN PLAU SERPINE1 STK24 SMOC2 PLAT USF1 SCARF1 MDK CLDN4 REG3G FAM50B DIP2C PLP2 HOXA13 PUS7 EMC6 GSK3B CADPS RPS18 METTL18 PTPN21 RASA4 IGFBP2 DRGX ECHDC2 UBE2T COL8A2 SLC8B1 VHL GPR89A DNAJC17 STX17 ALMS1 AKR7A2 MSL2 PRG2 PRORP ZNF12 RPL39L COL7A1 MANBA APOA2 PRKACA RAB11FIP5 CNMD OR10K2 ZNF19,GUCA2A TGM6 PI3 MUSTN1 GABRB3 OR7C2 TPST2 PYY PLEK2 ELOVL2 EFNB1 ARHGAP44 PCSK4 TMEM91 ALG13 CACHD1 DTHD1 OR8H3 CEP164 NHSL1 CDKN1B EIF4E3 NBEA AEBP2 CWC25 CACNA1G TUT7 RDH16 PYGB TRIM33 HAPLN4 ATG12 AICDA SEM1 H1-7 TRIM17 RETREG3 GNG3 RPL15 ZSCAN4 LTA4H SYCE1 ANXA3 NHERF2 RBMY1B ELL2 POLI ECHDC1 LIPH STT3A CSRNP1 TIMD4 MSANTD1 ASIC3 NUP43 ACCSL VASN RASSF7 ZNF285 C1QL2 ZNF433 SST CST9 PRKAR1A AADAT MACC1 MEIOB UBE2E2 NEIL1 GRAMD1C PPIAL4G OR5D14 GPT2 MTMR9
GO:0071226,SCIMP SYK CLEC7A BTK,4,cellular response to molecule of fungal origin,SCIMP SYK ANXA7 MTMR3,MAPKAPK2 ETNK2 ABHD6 HAUS7
GO:0051984,KAT2B NCAPG NCAPH KAT5 CDC6 NCAPD3 MAD2L1BP NCAPG2 SIRT2 HNRNPU PRAP1 RAD18 SMC2 NCAPD2 BIRC5 SMC5 CDCA8 CDK1 NUMA1 INCENP SMC6 NCAPH2 SMC4 RCC2 AURKB BECN1 CCNB1,27,positive regulation of chromosome segregation,PRAP1 HNRNPU SMC5 SIRT2 SMC2 NCAPG NCAPD2 NCAPH2 BECN1 KAT5 KAT2B CDCA8 NUMA1 CSF2 RASD2 LAMB2 INHBA SPN CDKL2 SLC25A17 EIF4EBP1 MARCHF7 SGPP2 PRAG1 GEMIN2 MRPS18A ARL17A,GSTT1 ZBTB8OS NEB MPG TBCC ZNF311 IKZF3 QNG1 MAPK8IP3 TOGARAM2 PLEKHA2 RADX ZNF33B BOD1L1 JMJD7 EVX2 PPP3CB PODXL2 TBC1D3G KRT6A KCNE4 CYP4F3 XKR9 RBM8A CC2D1A HMG20A ERO1A
GO:1901626,ZDHHC2 SSH1 RAPSN,3,regulation of postsynaptic membrane organization,SSH1 FEM1C IRAG1,VPS26A PDIA5 CHRNE
GO:1904814,CCT8 CCT5 CCT2 DKC1 CCT4 TERF1 CCT6A TCP1 CCT3 WRAP53 MACROH2A1 GNL3L GNL3 CCT7,14,"regulation of protein localization to chromosome, telomeric region",GNL3 CCT6A WRAP53 CCT4 CCT3 GNL3L CCT7 KCNF1 GGA3 RSPH14 AKAP14 NDUFS4 CNTNAP3 MACROD2,TRIM43 MDFI ZNF385B XPO6 TNFRSF11A MAPKBP1 L3MBTL3 RANBP9 RRAS KRI1 TFEC RAET1E PDILT NRBF2
GO:0002949,TPRKB OSGEPL1 YRDC OSGEP GON7,5,tRNA threonylcarbamoyladenosine modification,GON7 YRDC HS2ST1 CENPL TESK1,IGBP1 ALOX15 BIRC3 OAS1 WIZ
GO:0035112,TIFAB RBP4 NEUROG1 AR CTNNB1 SYCP2 NIPBL FGF10 DCANP1 KLHL10 TP63 NPR2,12,genitalia morphogenesis,RBP4 TP63 AR NPR2 CTNNB1 NIPBL ATP10D H3C8 PSD3 RPS28 WDR74 SEC23B,KANK3 HCST SERBP1 RBP3 CYP2C19 CTAGE1 TMIGD1 ULK3 MTERF3 EEF1G ST6GAL1 OR2M5
GO:1901977,DDX39B THOC1 THOC5 MAD2L1BP PPP1R10 PRAP1,6,negative regulation of cell cycle checkpoint,THOC5 MAD2L1BP THOC1 FAAP20 OR2F2 CES2,LALBA CTIF GPR42 ACSBG1 FAAP20 RARA
GO:0042417,DBH PNKD COMT ATP7A NR4A2 SNCAIP SLC6A3 GPR37 TGFB2 DRD3 GRIN2A DDC ALDH2 DAO ABAT SLC1A1 VPS35 CHRNB2 MAOA PDE1B TACR3 GNAT2 DRD1 SNCB TH GCH1 ITGB2 HTR1A SNCA PARK7 DRD2 LRTOMT MAOB ITGAM NPR1 PRKN MOXD1 HPRT1 DRD4,39,dopamine metabolic process,GNAT2 PRKN COMT PARK7 LRTOMT SNCA MOXD1 ALDH2 TH SNCB DDC HTR1A GPR37 ATP7A SLC1A1 VPS35 MAOA ITGB2 HPRT1 PLA2G4E DMRT2 RANBP10 KCNH7 DENND3 AHCY RAD51C ARFGEF2 ARHGEF6 IKZF2 INSYN2A SLC29A2 STAB1 TUBB4B AMER2 UNC5CL CUTC SDC1 GAPDH HSPA1A,NUPR1 ZNF132 NELFE SAMD7 UNC50 ENPP5 PMEPA1 MTURN SORL1 LAMC1 GSDMB KRT85 PIAS2 PSMD13 FHOD3 PRAP1 ANKRD33 TRIB1 CLEC16A FGF1 RELA NUDCD2 TTC1 RHAG AKAP6 ZNF112 ARF6 PSD4 MYLK4 ZNF10 UBE2T SCN2B CACNA2D4 KITLG SYT17 SNRPB2 HNF1A GPR63 RBM3
GO:0060117,CDH23 TMC1 SLITRK6 NHERF1 STRC FGFR1 PAFAH1B1 PLS1 TPRN GRXCR2 KCNQ1 SCRIB WDPCP ANKRD24 CLRN1 CLRN2 LRTOMT PDZD7 WHRN TECTA LHFPL5 TRIOBP SEC24B SOD1 MYO7A SLC4A7,26,auditory receptor cell development,MYO7A TMC1 LRTOMT PDZD7 FGFR1 SLITRK6 TRIOBP PLS1 SLC4A7 STRC CLRN1 WDPCP SCRIB NXNL1 MCL1 SULT1C2 ZNF585A KLK6 AEN IFNAR1 ARPC4 AK8 PCDHGB3 C9orf72 CCL7 LRRN3,SUPT4H1 OPRM1 VWA1 PLAG1 SHOC2 NR2F1 ADORA1 RIPPLY2 MUC21 IFNE ECH1 TEX12 F3 SLC24A2 NRIP2 ZC3H12C KRIT1 PRSS27 SMARCA4 MLYCD CHMP1A LRRC10 TIMM21 PLCG1 BHMT2 QRICH2
