GO,Genes,Gene_Count,Term_Description,50perc_contaminated_Genes,100perc_contaminated_Genes
GO:0045069,NOTCH1 TNIP1 TRIM38 SETDB1 IFIT1 TASOR IFITM2 MX1 APOBEC3H MAVS CD28 TRIM28 IFIH1 CXCL8 ISG15 IFITM1 RAD23A PLSCR1 SLPI PABPC1 PPIE PDE12 BANF1 LTF PPIH RESF1 VAPB ADAR N4BP1 ISG20 OASL DDX5 TNF EIF2AK2 OAS1 ILF3 APOBEC3A_B TARBP2 IFNL3 NR5A2 INPP5K BST2 DDX3X TOP2B PPID APOBEC3G ZC3HAV1 PKN2 DDB1 HACD3 APOBEC3A IFI16 SRPK2 OAS3 MPHOSPH8 IFITM3 IFNB1 CCL5 BTBD17 TMEM39A GBP7 SHFL MORC2 ZNFX1 FKBP6 TOP2A RSAD2 CNOT7 APOBEC3B STAU1 IFIT5 SRPK1 ADARB1 TRIM6 APOBEC3F APOBEC3C RNASEL FAM111A HMGA2 PPIA BCL2 OAS2 LARP1 PROX1 AICDA,85,regulation of viral genome replication,BST2 SETDB1 SHFL AICDA ADAR PABPC1 RESF1 APOBEC3H CCL5 BANF1 TRIM38 APOBEC3A SRPK1 INPP5K IFIH1 TNIP1 PPID TRIM6 LARP1 APOBEC3C NR5A2 APOBEC3A_B MX1 MPHOSPH8 OAS2 SRPK2 IFITM2 LTF APOBEC3B FKBP6 PPIE APOBEC3F ADARB1 PKN2 TOP2B TOP2A DDX3X IFIT5 IFNL3 ISG15 PPIH RAD23A SOX5 CES3 PI16 HLA-DQB1 NUSAP1 IQUB GSTM3 WDR48 PAN3 PKNOX1 SCO1 GFRA1 ART4 CCNI2 CDC34 TAS2R8 FAAP100 MMGT1 AGR3 WT1 TDRD1 SEMA6D MAN2A2 MINDY2 H2BC15 SKIDA1 DHTKD1 RPL23A DPM3 EXOSC7 GPX2 MRPL21 HSD17B10 MAD2L2 ND4L DKK4 CDKN2C PSG7 SPIN4 CSNK1A1 KLK12 ZNF536 SKIC8,VPREB3 SLC22A15 DAB2IP MGP RAB6D OR7A5 GRIN2B RIOK3 RMI2 GCA DDN ZFP14 HSFX1 TAAR6 EN1 RNF4 ARHGAP5 FABP12 MRPS2 SALL4 NEURL1B LAMB2 UQCC2 CCR1 RAB17 LRRN2 ARL6IP5 MYH8 WFDC1 FAM151A IRF7 PPP2R1A ZNF646 TRIM17 PTCH1 ZNF699 ACTL8 KIF2C SP140 MSTN ADCK2 TMSB15A MBD4 USP19 LCMT2 NEK2 NCBP2L ZNF705B ARHGAP45 EPGN CD276 BCCIP C2CD2L SNAPC1 KAZALD1 EXOC1 SLC4A3 UBE2J1 TMEM30A DPP7 REC8 SLC22A10 PPM1G APOC2 IRX3 VCX3B OCIAD1 UBB CYFIP1 HTATIP2 CD24 PLEKHG1 GHITM FZR1 GYG2 PRKG2 CNTNAP3 A4GALT ZNF324B SERF2 PRTFDC1 SERGEF ZNF449 CNFN CA5A
GO:0097026,CCL19 CCR7 CCL21,3,dendritic cell dendrite assembly,CCR7 OR2T4 ARHGAP5,SLC7A13 OR5AN1 EGLN3
GO:0036257,VPS37A CHMP6 CHMP3 STAM2 CHMP4A HGS CHMP7 CHMP1B VPS37B RAB27A VPS37C RNF103-CHMP3 VPS4B SNF8 VPS37D VPS25 CHMP4C VPS4A IST1 CHMP1A VPS36 VPS28 MVB12A PDCD6IP CHMP2B RAB11A CHMP2A VTA1 UBAP1 STAM CHMP4B CHMP5 TSG101,33,multivesicular body organization,STAM VPS37A VPS36 TSG101 CHMP1A MVB12A CHMP4C CHMP2B RAB11A CHMP3 VPS28 HGS VPS25 CHMP7 RNF103-CHMP3 VPS37B TMEM87A TRPM4 CTH DOP1B CYP26A1 RLN2 CYP21A2 FZD5 EIF2S2 CCN2 NGF NAA11 TRIM32 NRBP1 RAPGEF5 SPNS3 PRR7,TPSAB1 AHNAK HDGFL2 LAMTOR2 AGTR1 EIF3F AMT DIXDC1 PJVK TCEA3 BTRC C2 CTPS2 ABR GPR156 HYCC2 ATXN3 FAM20A PIGM TBC1D17 CHD6 PDSS2 FASTKD2 CAPN5 ACP6 RBP7 DPRX DPAGT1 KRBOX5 PTAR1 NOG CRPPA OSM
GO:0007039,DPP7 LRP1 GBA1 CPA2 TMEM106B TMEM199 TCIRG1 VPS13A VPS35 LDLR MGAT3 MARCHF2 CCDC115 ATP13A2 CD81 MFSD8 RNF128 LAPTM4B SLC17A9 LRP2 USP8 TPP1 LAMP2 CLN3,24,protein catabolic process in the vacuole,LDLR CLN3 DPP7 LRP1 MGAT3 TPP1 MARCHF2 GBA1 USP8 CD81 VPS13A LRP2 AK2 ADO PPP2R1A HCRTR1 SLC43A2 CCNB1 PPIAL4A ARHGEF11 TRIM27 GOLT1B ARL17B MEGF9,TRAFD1 PAPPA2 ABCA6 CA7 P2RY8 PPIL3 ARMC7 SEZ6L2 MS4A6A EXD3 CPM ATP5MGL SLC7A13 XKR6 ZNF416 KXD1 NEK9 H2AC14 ADCK1 ALG12 RAB6D HSF1 TTI1 CARMIL2
GO:1900047,ANXA2 SERPING1 TFPI THBS1 PROS1 SERPINE1 FGA VTN FAP KNG1 SERPINB2 APOE PRKCD ADAMTS18 PLAU COMP USF1 PDGFRA PROC PLAT ADTRP FGB PLAUR EDN1 SERPINE2 APOH PDGFB TSPAN8 GP1BA F2 SH2B3 NOS3 ALOX12 F12 CD9 SERPINF2 KLKB1 CPB2 UBASH3B F11 PRKG1 THBD CEACAM1 C1QTNF1 FGG PDGFA KRT1 PLG HRG TMX1,50,negative regulation of hemostasis,F11 PRKCD TFPI APOH SERPINE1 C1QTNF1 ADTRP USF1 PDGFA FGA PLG FGB ALOX12 SERPINF2 PRKG1 CEACAM1 F2 PLAU PDGFB EDN1 KRT1 PDGFRA GP1BA UBASH3B CD9 SKAP1 H2BC3 RCC1L SLCO2A1 ASPA OR2T12 CDK14 XAB2 TNFSF10 GDF10 B3GNT4 DRAM1 SYCE1L WFDC3 LRRTM3 RELN RAPH1 OST4 PTGES2 CSPG5 ZNF330 CFAP251 SNX31 GARRE1 UTP14C,THTPA UBC TMPRSS9 PCDH19 TEX28 VAMP2 TMX3 LMF1 SRD5A3 UBA6 TMTC4 ZNF764 KIR2DS3 TTC39A MAPK4 ORAI3 CACNG6 AGR3 TRPT1 CPVL HMGCS1 OR6T1 OR3A1 OR6N2 NAALADL2 GNA11 PSMD2 GAB3 DENND4C IYD RNASEH2C UBXN6 AP1M1 NIPAL1 REG4 OR2A4 AGBL1 CEACAM20 ALPK1 ARL2BP CYLC1 EPDR1 SMARCA1 RRP15 ZNF3 CALML5 PPP2R2A DCUN1D2 TMEM120A SLC35E4
GO:2000347,WNT3A TNFAIP3 CFLAR MED1 XBP1 HPN TNF FGF1 PTN MDK,10,positive regulation of hepatocyte proliferation,XBP1 TNF PTN FGF1 TNFAIP3 CCL21 COMMD1 SCYL3 CLPB SH2D6,FOXD4L4 TCF23 CNOT3 SLC6A6 COL5A2 EIF3K CENPL DYNC2LI1 NUCB1 TMEM207
GO:0140009,SLC1A1 SLC1A2 SLC1A6 SLC1A3 SLC1A4 SLC1A5,6,L-aspartate import across plasma membrane,SLC1A5 SLC1A6 SLC1A3 NT5C1B-RDH14 NKX6-3 TNS1,BBS12 SLC26A4 PIGS SCAND1 TBX10 ZNF780B
GO:1903651,EIPR1 PRKN MECP2 TRIM46 MAP2,5,positive regulation of cytoplasmic transport,TRIM46 PRKN GLMN USP29 DYRK1A,ZNF534 ZNF146 RERE TMEM178A TMEM138
GO:0097350,HMGB1 XKR8 MERTK ANXA1 CCR2 AXL,6,neutrophil clearance,AXL HMGB1 CCR2 OR2T10 PSD GHR,LCE2D UGT1A10 CTNNA1 RNF10 PNPLA2 SHMT2
GO:0045959,CR1 SUSD4 C4BPB SVEP1 CR2 CD46 C4BPA CR1L,8,"negative regulation of complement activation, classical pathway",SUSD4 SVEP1 CR2 CD46 RBM7 AMMECR1 H3C4 PER2,NMUR1 RERG DGKQ EPB41L1 DPT COL4A2 DDHD1 RAB6B
GO:0002667,CLC FOXP3 PHLPP1 CD3E CBLB ITCH LILRB4 HLA-B,8,regulation of T cell anergy,PHLPP1 CBLB CD3E CLC ATOH1 FER1L6 ZKSCAN7 SOS2,CXCL2 CHST1 HMGA2 FIS1 RAN PALM3 MRPS18B SLC26A6
GO:0072488,RHBG RHAG SLC12A7 SLC12A4 RHCE SLC12A6 AQP1 SLC12A2 RHCG RHD AQP8 SLC12A5,12,ammonium transmembrane transport,RHCE RHD SLC12A7 AQP8 RHBG SLC12A5 AMPH XRCC4 NCOA3 F13B PIGG CDH22,OR10A4 H2AC8 USP17L11 NEUROD4 ZNF768 GPRC5C RNF103 FSD1L TSPAN10 PUSL1 ABCD3 EFL1
GO:1902966,RDX ROCK2 DTX3L EZR EGF MSN MGAT3 NF2 SORL1,9,positive regulation of protein localization to early endosome,DTX3L RDX MSN EZR RTP4 PLEKHM1 SCAF1 ARID3C EPHX3,EIF6 SRARP CEP290 CAP1 NCF1 SLCO1C1 FAM50B ASCL2 COQ8A
GO:0035754,PTK2B CXCL13 XCL1 PIK3CD HSD3B7 CH25H CYP7B1 GAS6,8,B cell chemotaxis,CXCL13 CYP7B1 XCL1 GAS6 SLC12A4 RIMBP2 BCL11B ZNF70,ZNF146 POLD4 SLC25A40 UNKL AURKC CAPN10 ST18 RETNLB
GO:0070294,SGK1 CLCNKB OXSR1 UMOD KCNQ1 EDNRA SLC12A3 EDN1 KLHL3 MAGED2 WNK4 EDNRB STK39,13,renal sodium ion absorption,EDNRA OXSR1 CLCNKB MAGED2 KLHL3 EDN1 HMHB1 TRIP13 PTPRF HOXB7 RASSF8 PYDC5 SOAT2,NGDN CACNG6 NDFIP2 FUT6 ASGR2 DISC1 POLB ZNF598 FSHB OR52B2 TMEM131 PGPEP1L PDE8B
GO:1905668,ABHD17C ABHD17A RDX ROCK2 EZR DTX3L EGF MSN ABHD17B MGAT3 NF2 SORL1,12,positive regulation of protein localization to endosome,DTX3L ABHD17A ABHD17C EGF RDX EZR LIN7C SWI5 RIMBP3C MAGEA6 POT1 WT1,PCSK5 RGS14 PPP1R14B CACNG5 SGCD ACER1 STON1 CNMD ADGRE1 KAT2B IRF9 NYAP2
GO:1902083,NCOA7 ATP2B4 SNTA1 OXR1 DMD TBC1D24,6,negative regulation of peptidyl-cysteine S-nitrosylation,DMD OXR1 NCOA7 LYPD1 ZP1 MCMDC2,INF2 REM1 AASDHPPT RIPOR2 LRRC41 AMBRA1
GO:0001711,RTF1 CDC73 SOX2 PAF1 LEO1 SOX17 CTR9 CTNNB1 EOMES MESP1 DKK1 GATA6 NANOG HNF1B POU5F1,15,endodermal cell fate commitment,CTNNB1 SOX17 CTR9 PAF1 CDC73 SOX2 MESP1 TWF2 TWF1 G3BP1 RAPSN FBXL14 SH3BP5 RNASE13 MORN2,HSFX3 DBN1 PGRMC1 TTC1 GABRA4 OTOL1 MYO1D KLRD1 POLM PLD3 TPCN2 ATOX1 RAB40A PJA2 RPL22
GO:0140367,DEFB136 UMOD MPEG1 TFEB MARCHF2,5,antibacterial innate immune response,UMOD MPEG1 METTL1 NRIP1 PKD1,COX5A CAMSAP1 TTC39B STK10 ZFAND6
GO:0016079,SYT10 RIMS1 DOC2A RAP1A SYNJ1 VPS18 PPFIA3 OTOF RAP1B SYP RIMS3 NAPB RPH3A UNC13B SYT2 SCRIB PRRT2 CDK5 CPLX2 SNAP29 SYT1 DTNBP1 BRAF SV2A CADPS2 DOC2B PREPL SNPH CPLX3 GRIK5 WNT7A FMR1 STX11 SYN1 RAB3A VAMP2 UNC13C DVL1 SYT8 STX1B STX1A RAB3GAP1 SYT5 CASK CSPG5 SV2C DNAJC5 STXBP1 FBXL20 CADPS SYT7 CTBP2 SYT12 CACNB4 SYT11 P2RY4 TPRG1L PPFIA2 LRRK2 UNC13A NAPA SEPTIN5 CPLX4 RIMS2 PSEN1 CPLX1 RIMS4 SLC4A8 SYT4 ATP2A2 SYT9 SNAPIN PFN2 PCLO STX19 STXBP5 PIP5K1C PRKCG STX3 GIT1 HTR1B ERC2 P2RX7 FBXO45 NLGN1 RAB5A BLOC1S6 SNCA SNAP25 SNAP23 P2RX1 SV2B SNAP47 P2RY1 STX2 PRKCB,96,synaptic vesicle exocytosis,PPFIA2 STX19 DOC2B RIMS3 FBXO45 BRAF SLC4A8 SV2B SV2C ATP2A2 RIMS1 SYNJ1 SNAP23 RPH3A SNAP29 SYT12 RAP1B SYT11 UNC13C CADPS2 UNC13A SNAPIN SYT10 CPLX4 FMR1 OTOF SYT8 SNAP47 SYT2 BLOC1S6 CASK VAMP2 CSPG5 VPS18 PRKCB LRRK2 P2RY1 CPLX1 STX3 RIMS2 WNT7A STXBP1 PCLO RIMS4 SYT1 STX1B SV2A RAB3A OLFML3 RBM27 CSF2RA NAP1L5 MAB21L1 ARPP21 CLEC9A DMRTC2 MAP3K4 SLC25A34 CC2D2B KCNC2 GALNT13 ADARB2 H4C15 OR5T3 ACTL8 TPT1 PPP1R14A WWC3 KIAA0319L SLC5A12 MYCBP2 PARD6B APOBEC3H NPR3 PDE4DIP SLC1A7 ENO4 TAS2R31 PAFAH2 HLA-DOB ARHGEF4 PSMC2 PSMD14 MED7 NOC3L POMP WDR72 NPM2 CDS2 HOXA3 CABP5 COIL PEX11B FSD1 NOTCH3 SEC14L1,CD300H OSBPL11 SLC52A2 CTF1 DEFB104B ZNF613 TP53RK RSF1 PON2 PARD6G SFT2D2 THAP12 C1RL EDN2 TNFRSF11B BRF2 HNRNPDL C1R PRKAA1 DAZ4 PIGF EPB41L2 RNLS OIT3 RARRES1 CD209 B4GAT1 RHOXF1 OR52L1 PGLYRP3 SATL1 FCRL4 PRSS22 CLSTN3 SLX1B CFAP44 PTH2R CHRDL2 FOXI3 STPG1 SLC35E4 PRAMEF25 BBOX1 IGSF10 OGT GSTP1 CDKN2D GPCPD1 JSRP1 QARS1 TTLL4 MSRB2 LEMD3 SAMD4A KRT16 SOSTDC1 ATG4A SHISA7 HOXD10 AKR1B1 ATP2C1 DOCK1 ZNF732 SLC52A1 CDHR2 NOVA2 GCSAM TRIML2 ZNF507 SNRNP35 SEPHS2 SH3RF1 MMP14 APOO FBXO31 PROX2 PLAU SEPHS1 CYP3A43 ZEB2 TPTE2 MUS81 MORF4L1 POMGNT2 TRIR COL9A2 TRIM49D2 HDAC1 USP51 SLC10A1 SHC2 PGK2 CAPG GUCY1A1 SPAG11B IFNK
GO:0048294,NDFIP1 BCL6 FOXP3,3,negative regulation of isotype switching to IgE isotypes,FOXP3 FANCM PGPEP1L,RIMS4 ABTB1 ARL14
GO:0021855,FOXB1 NDNF NRP1 NRP2 SEMA3E PLXNA1 PLXNA3,7,hypothalamus cell migration,PLXNA1 NRP1 FOXB1 PDRG1 WIZ TMED3 EYA1,PICK1 MTG1 SEC23IP KCNK9 UNCX THAP7 TRPC7
GO:0033860,RFK INS SLAMF8 PARK7 AGTR1 DRD5 AGT,7,regulation of NAD(P)H oxidase activity,AGT RFK PARK7 TAB1 PEAR1 PCYOX1 EZH1,CALY BIN2 ATP8A1 MAVS MED9 OR6J1 CWC25
GO:0014744,PPP3CA MYMK FOXO3 MYOG TRPC3,5,positive regulation of muscle adaptation,PPP3CA MYMK SPATA31A7 RHAG HNRNPH3,NEGR1 AGTRAP KCNV1 YJEFN3 ADGRF3
GO:0000338,COPS5 COPS7B COPS7A TOR1A COPS2 COPS6 GPS1 COPS8 COPS4 SENP8 COPS3,11,protein deneddylation,COPS5 COPS7B COPS2 GPS1 COPS3 C2CD2L EIF5AL1 CEP41 ARNT SSTR3 TTC17,HERPUD2 SPAG17 PRELP SLC22A13 SYN3 TBC1D21 ATP5MJ TIMM23B DGKH MYCL PRAME
GO:0060696,APOC1 LDLR APOC2 ENPP7 SCARB1 IDH1 PRKCD,7,regulation of phospholipid catabolic process,LDLR APOC2 PRKCD MYC B4GALT2 SLC15A1 COLEC12,SPSB2 ACAD10 PARP1 NBEAL2 SULT2B1 IL32 MAGEB10
GO:0019885,TAP1 RAET1L RAET1E HLA-C TAP2 B2M TAPBP IDE MICB ERAP1 HLA-E ERAP2 MICA ULBP2 HLA-A HLA-B HLA-G ULBP1 HFE ULBP3 HLA-F RAET1G,22,antigen processing and presentation of endogenous peptide antigen via MHC class I,RAET1G ERAP2 HLA-A ULBP2 B2M HFE TAP2 ULBP3 RAET1E ULBP1 TAP1 PTPRO ADPRS PPP1CA ZNF25 CD4 ZNF414 ZNF765 DCUN1D2 NUF2 NGB CD151,RIMBP3B GP9 MIDEAS ANK3 ZNF215 CTSZ DOC2B PLEKHG2 SNX2 CYP26B1 ADCYAP1R1 ATP13A5 HPN ATP5IF1 ZNF761 RMC1 ELAC1 DIP2C KRT79 KRTAP4-9 HSPB2 FTHL17
GO:0003166,ID2 TBX5 NKX2-5 HOPX IRX3 TBX3,6,bundle of His development,NKX2-5 TBX5 TBX3 LAT KARS1 GINS2,ZBTB33 RAB39B SLC1A5 OR10C1 BOP1 LRRN1
GO:0043377,SLC4A2 ZBTB7B SOCS1,3,"negative regulation of CD8-positive, alpha-beta T cell differentiation",SOCS1 FN3KRP NDUFS4,ABL1 THEM4 MOCS2
GO:0035825,MSH5 UBE2B MLH3 MND1 RAD51B C1orf146 MUS81 SYCP1 TEX11 NBN HFM1 CENPS-CORT KLHDC3 TEX19 SHOC1 MSH4 ANKLE1 RNF212 FANCD2 TOP2A ERCC4 ATM MRE11 BRME1 MAJIN C14orf39 TERB1 CNTD1 EME1 SPO11 UHRF1 REC8 BRCA1 CENPX RNF212B BARD1 RAD51D RAD54B FANCM SYCE3 RBBP8 HSF2BP MLH1 RAD51C MEIOB SLX4 PSMC3IP ANKRD31 CENPS RMI1 PRDM7 NUCKS1 TERB2 TOP6BL RAD21 BRIP1 RAD51AP1 TRIP13 RAD54L RAD50 CCNB1IP1 RAD51 HDAC10 UBR2 TOP2B TOPBP1 PRDM9 EME2 DMC1,69,homologous recombination,SPO11 RNF212 KLHDC3 RAD51C TOP2B TEX11 CENPS ANKRD31 FANCM SLX4 CENPS-CORT MEIOB BRCA1 ATM SYCE3 EME2 BRIP1 MSH5 BRME1 RAD21 TOPBP1 PRDM7 ANKLE1 UBR2 HDAC10 TERB1 UBE2B NUCKS1 MUS81 RAD51 SYCP1 RBBP8 MAJIN HFM1 COX8C TMEM64 SRSF9 SNCAIP PHF12 SPOUT1 OR4F29 TACSTD2 WASF3 PCDHA12 WDFY3 PML NMBR ETFDH CFAP54 KLLN TMC8 CRNN KRTAP6-1 H3C2 KIF1B MS4A1 UQCRC2 CEP164 CPTP KCNK17 TTI2 DCX CACNA1E TREML2 MARCKS CYP24A1 LOX PBLD SYNGR2,FIZ1 DIABLO VXN TGM5 DPEP1 ZBP1 RARS1 HIPK1 TRIM63 PMVK MAGEC3 MIOX BZW2 LRRTM2 DTX4 LMBRD2 DNAJC24 PRSS1 SARM1 C1orf50 METTL18 NBL1 ETV3L ZDBF2 SMARCD2 DDR1 POMGNT2 H2AC11 SLC18A2 OR5H15 PPP1R14D FKBP7 PELP1 ADH1C PI4KA RBM19 OR7D2 RABL2A TOX LMOD1 KCNG1 TNIP2 CPLX2 RAB7B JUP WIPI1 COX8C CACNA1S TWF2 CBFA2T2 SULT1A2 MCCC1 FGF8 NDUFV3 JOSD1 GTF3C3 UNC5B CREB3L4 DNAL1 OR5H2 IRF7 GRID2IP RFC2 SORBS2 SS18 OR52E6 CETN1 GATAD1 ODC1
GO:0007063,SMC5 ESPL1 BUB1 ATRX NSMCE2 RAD21 SLF2 CTNNB1 DDX11 FEN1 TNKS WAPL CTCF SLF1 MACROH2A1 NAA10 AXIN2,17,regulation of sister chromatid cohesion,MACROH2A1 BUB1 SLF1 AXIN2 WAPL CTNNB1 ATRX NSMCE2 SIX6 DCLK2 DLX2 NSUN7 KAT14 TLCD4 F2RL2 CFHR2 CRY2,LCE1C ADAMTS17 SHKBP1 CROT TNFRSF17 CORO1C DCSTAMP CLDN25 ZNF19 RBM41 TRIM2 EXOC5 HACL1 HIC2 ZFAND5 CLU MFGE8
GO:0051036,RAB11A BORCS6 BORCS8 CHMP3 BORCS5 RAB5A BLOC1S2 SNAPIN BORCS7 BLOC1S1 KXD1 RILP ALS2 RNF103-CHMP3,14,regulation of endosome size,BORCS7 SNAPIN ALS2 BORCS6 RAB5A BLOC1S1 RILP CA7 HTR2A LMNA OAZ3 CRIP2 ETS1 OR5AU1,GTF2H2 DHRSX PSMA8 SDHAF3 FPGT-TNNI3K IZUMO1R XPO1 KDM3A IFNG VARS2 TRIM50 BAG1 BCL7C GOLGA6B
GO:0071715,MIF SLC22A7 ABCC10 TNFSF11 PLA2G5 SLCO4A1 DRD3 NOS2 AVPR1B LEP SLC22A8 LHCGR PNPLA8 NMUR2 PLA2G2D NTSR1 ABCC6 ABCC1 EDN1 PLA2G2E TNFRSF11A PLA2G1B PTGES SLC22A6 SLCO3A1 ABCC3 OC90 MAP2K6 PTGS2 ACE PLA2R1 PLA2G4F PLA2G12B PLA2G10 P2RX7 SLCO2A1 IL1B SLC22A1 PROCA1 SLC22A11 DRD2 BDKRB2 PLA2G2F PLA2G3 IL1A P2RX4 NMB SLC22A2 ABCC11 ABCC4 SYK SLCO1B1 SSTR4 PLA2G12A ABCC2 CYP4A11 PLA2G2A DRD4 PLA2G4A SLCO2B1 CYP4F2,61,icosanoid transport,ABCC6 P2RX4 PLA2G2E SLC22A7 PTGES SSTR4 SLC22A11 PROCA1 ABCC10 PLA2G12A SLCO4A1 PLA2G3 MIF SLCO3A1 ABCC11 PLA2G10 PLA2G2F CYP4F2 PTGS2 PNPLA8 NTSR1 PLA2R1 NMB EDN1 DRD4 BDKRB2 SLCO1B1 SLC22A6 PLA2G2D ABCC1 ZNF165 VPS8 IL17RE TNFSF18 REEP5 KANSL3 MAP7D3 LURAP1L TIMM17A ZSCAN30 PI4K2B HTR7 NECAP2 TVP23A RNF113A AIF1L RSAD1 FBXL19 SELENOI CASP8AP2 COQ10B EML4 OR4C12 ZNF813 NETO2 LIME1 TSPAN13 CYP2W1 PGRMC1 CTSA KCTD12,COL11A1 DCAF12 MLN USP10 CNKSR1 RAB11FIP3 AZIN2 KIAA1755 GLP2R SYP ROBO4 ARPC1A SNX4 CCZ1B SLC35F4 MARS1 NCKAP5L WSB2 KCNIP3 S100P MMP8 GSTA3 IL5 TBC1D26 MIEF2 RCOR2 IFITM5 TMOD1 CACNA2D4 IRX5 TAF12 CBX3 SLC28A1 MED30 SPATA7 OR3A3 CABIN1 OSMR TMEM167A SRSF8 RTCA PIANP PGLYRP4 SYT15 OR10W1 ATP5PD MTSS1 USP7 CRYBB2 RASD2 TNFRSF13B UBIAD1 GRIP2 NAP1L3 FCRL6 KCNRG PWP1 SPEF2 NSMAF FBXL2 DPY19L3
GO:0070316,SMARCA2 MED1 ARID2 DAB2IP PBRM1 ACTL6B CHEK1 SMARCB1 DPF1 SMARCD2 PPP2R5B BCL7B ARID1B PHF10 CDKN2B RHNO1 BCL7A SMARCC1 BRD7 RRM1 FOXO4 ARID1A DPF2 BCL7C RRM2B SOX15 DUX4 SMARCC2 SMARCA4 ACTL6A SMARCD3 SMARCE1 DPF3 HLA-G ACTB SMARCD1,36,regulation of G0 to G1 transition,DPF1 SMARCB1 FOXO4 PPP2R5B SMARCA4 DPF3 SMARCC2 ACTB BCL7C SMARCE1 DAB2IP BCL7A SOX15 BRD7 RHNO1 HLA-G PBRM1 ACTL6A KCNH3 ELSPBP1 TMEM79 CASP12 COA1 RCHY1 AFF3 TMUB1 TAX1BP1 SDHAF3 SPATA31A3 GPR20 PMS2 PFN4 TFB1M PIGG MLN THRAP3,PPP2R5A NEMF INPP4B KCNJ15 LRIG1 LPP AMY2A ACOX2 FOXRED1 MFAP5 TEN1 ANGPTL1 CENPM PCDHGA6 NXF3 CCN6 XPNPEP3 FGG VPS8 ROR1 DNAAF4 KHK PPL GPR158 SYK RNF128 ACSL6 INTU CFAP44 ANKRD6 LILRA5 RDH16 FAM9C MGP SSUH2 DYNC2H1
GO:0071716,ABCC4 ABCC3 ABCC10 ABCC6 ABCC1 ABCC2 ABCC11,7,leukotriene transport,ABCC6 ABCC4 ABCC11 HNRNPLL SHFL KIF1A DDX19A,CHML CPSF2 CROT CMBL GNGT1 ZC3H7A POTEJ
GO:0006515,AKIRIN2 LONP2 FBXL17 KLHL15 NGLY1 UGGT2 YME1L1 CUL3 DERL1 CLPP RNF185 VCP ZER1 UFD1 PEX12 OMA1 BAG6 RNF126 UBE2W TOR1A RNF5 UGGT1 SDF2L1 AUP1 HDAC6 STUB1 LONP1 ATXN3 ANKZF1 PEX10 ZYG11B,31,protein quality control for misfolded or incompletely synthesized proteins,CLPP RNF5 ATXN3 AKIRIN2 ANKZF1 BAG6 PEX10 ZYG11B UFD1 VCP FBXL17 HDAC6 RNF126 PEX12 UGGT1 ZC4H2 DEPDC1B KDF1 PIK3R4 RGMB IFT46 MNX1 DACH2 KDM4E NPFFR2 HTR5A MCRS1 PCDHA9 TULP3 GHSR OSGEP,CDX1 C2 MAP1LC3A CLDN17 DEGS2 EIF4E2 POLR1G NRF1 DNAJB14 EXOC6B PLEKHM3 LMO3 RCBTB1 DGCR6 OR2J2 ATP1B2 APOOL SHPK SYCE1 MPZL2 EXO1 OR10H1 STK25 UTP3 PLCE1 EXD2 TREML2 PROC ZNF394 METTL21A CBX2
GO:1901550,PLCB1 ROCK1 VEGFA PROC S1PR3 CLDN5 PPP1R12A CDH5 S1PR2 ROCK2 IKBKB TNFRSF1A IL1B VCL TNF F11R ADD1 ZDHHC21,18,regulation of endothelial cell development,ADD1 ROCK1 IKBKB S1PR3 ZDHHC21 VEGFA ROCK2 PROC TNF ANXA6 BCAS2 KAT7 KCNK13 TRAPPC8 EEF1AKMT2 COA3 ZNF532 ZNF701,SEZ6 LHX9 CNTF KLHL4 CNNM3 PDCL2 ATG4D CDADC1 PIK3C3 CXCL9 PTGFR CPEB3 TRIM4 GLRA3 TNS3 WSB2 ATP5MG OR8U9
GO:0010899,LDLR SCARB1 APOC1,3,regulation of phosphatidylcholine catabolic process,SCARB1 B4GALT5 GJC2,SLC4A10 STAB1 ERV3-1-ZNF117
GO:1901079,CHGA ABCC8 HRC,3,positive regulation of relaxation of muscle,ABCC8 GAB3 ECT2,KRT5 DAZ2 TRABD2B
